date,covid
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,2
2020-03-01,6
2020-03-08,28
2020-03-15,76
2020-03-22,89
2020-03-29,91
2020-04-05,80
2020-04-12,64
2020-04-19,59
2020-04-26,55
2020-05-03,53
2020-05-10,52
2020-05-17,49
2020-05-24,44
2020-05-31,37
2020-06-07,40
2020-06-14,49
2020-06-21,67
2020-06-28,77
2020-07-05,74
2020-07-12,82
2020-07-19,68
2020-07-26,67
2020-08-02,59
2020-08-09,55
2020-08-16,48
2020-08-23,43
2020-08-30,46
2020-09-06,39
2020-09-13,38
2020-09-20,40
2020-09-27,53
2020-10-04,53
2020-10-11,46
2020-10-18,50
2020-10-25,56
2020-11-01,47
2020-11-08,78
2020-11-15,100
2020-11-22,77
2020-11-29,78
2020-12-06,84
2020-12-13,83
2020-12-20,80
2020-12-27,87
2021-01-03,82
2021-01-10,88
2021-01-17,82
2021-01-24,79
2021-01-31,72
2021-02-07,69
2021-02-14,61
2021-02-21,66
2021-02-28,75
2021-03-07,81
2021-03-14,73
2021-03-21,71
2021-03-28,74
2021-04-04,73
2021-04-11,59
2021-04-18,52
2021-04-25,58
