date,pfizer
2021-01-01,12
2021-01-02,14
2021-01-03,13
2021-01-04,19
2021-01-05,23
2021-01-06,21
2021-01-07,22
2021-01-08,27
2021-01-09,18
2021-01-10,15
2021-01-11,18
2021-01-12,29
2021-01-13,27
2021-01-14,29
2021-01-15,28
2021-01-16,31
2021-01-17,23
2021-01-18,23
2021-01-19,28
2021-01-20,24
2021-01-21,29
2021-01-22,26
2021-01-23,25
2021-01-24,21
2021-01-25,27
2021-01-26,32
2021-01-27,29
2021-01-28,29
2021-01-29,32
2021-01-30,27
2021-01-31,21
2021-02-01,21
2021-02-02,27
2021-02-03,27
2021-02-04,31
2021-02-05,30
2021-02-06,24
2021-02-07,20
2021-02-08,23
2021-02-09,23
2021-02-10,27
2021-02-11,27
2021-02-12,27
2021-02-13,25
2021-02-14,17
2021-02-15,23
2021-02-16,23
2021-02-17,26
2021-02-18,31
2021-02-19,36
2021-02-20,26
2021-02-21,26
2021-02-22,24
2021-02-23,29
2021-02-24,35
2021-02-25,39
2021-02-26,35
2021-02-27,39
2021-02-28,34
2021-03-01,34
2021-03-02,36
2021-03-03,41
2021-03-04,39
2021-03-05,39
2021-03-06,42
2021-03-07,34
2021-03-08,40
2021-03-09,42
2021-03-10,47
2021-03-11,48
2021-03-12,55
2021-03-13,48
2021-03-14,40
2021-03-15,45
2021-03-16,55
2021-03-17,51
2021-03-18,55
2021-03-19,52
2021-03-20,48
2021-03-21,48
2021-03-22,54
2021-03-23,60
2021-03-24,58
2021-03-25,63
2021-03-26,60
2021-03-27,56
2021-03-28,47
2021-03-29,59
2021-03-30,68
2021-03-31,75
2021-04-01,84
2021-04-02,74
2021-04-03,59
2021-04-04,52
2021-04-05,65
2021-04-06,75
2021-04-07,72
2021-04-08,75
2021-04-09,76
2021-04-10,70
2021-04-11,62
2021-04-12,67
2021-04-13,100
2021-04-14,86
2021-04-15,87
2021-04-16,80
2021-04-17,63
2021-04-18,53
2021-04-19,58
2021-04-20,59
2021-04-21,60
2021-04-22,59
2021-04-23,59
2021-04-24,58
2021-04-25,45
2021-04-26,50
2021-04-27,55
2021-04-28,56
2021-04-29,54
2021-04-30,48
2021-05-01,43
