date,moderna
2021-01-01,21
2021-01-02,19
2021-01-03,15
2021-01-04,30
2021-01-05,37
2021-01-06,34
2021-01-07,34
2021-01-08,41
2021-01-09,31
2021-01-10,24
2021-01-11,29
2021-01-12,44
2021-01-13,46
2021-01-14,49
2021-01-15,45
2021-01-16,35
2021-01-17,29
2021-01-18,47
2021-01-19,54
2021-01-20,43
2021-01-21,43
2021-01-22,44
2021-01-23,38
2021-01-24,27
2021-01-25,43
2021-01-26,45
2021-01-27,51
2021-01-28,48
2021-01-29,56
2021-01-30,45
2021-01-31,33
2021-02-01,43
2021-02-02,41
2021-02-03,44
2021-02-04,47
2021-02-05,51
2021-02-06,42
2021-02-07,30
2021-02-08,39
2021-02-09,45
2021-02-10,44
2021-02-11,50
2021-02-12,48
2021-02-13,41
2021-02-14,35
2021-02-15,31
2021-02-16,38
2021-02-17,38
2021-02-18,43
2021-02-19,40
2021-02-20,38
2021-02-21,33
2021-02-22,35
2021-02-23,44
2021-02-24,47
2021-02-25,50
2021-02-26,50
2021-02-27,50
2021-02-28,46
2021-03-01,45
2021-03-02,49
2021-03-03,56
2021-03-04,57
2021-03-05,60
2021-03-06,62
2021-03-07,41
2021-03-08,48
2021-03-09,56
2021-03-10,59
2021-03-11,67
2021-03-12,70
2021-03-13,58
2021-03-14,53
2021-03-15,59
2021-03-16,72
2021-03-17,65
2021-03-18,67
2021-03-19,64
2021-03-20,61
2021-03-21,45
2021-03-22,61
2021-03-23,71
2021-03-24,69
2021-03-25,73
2021-03-26,66
2021-03-27,58
2021-03-28,52
2021-03-29,63
2021-03-30,72
2021-03-31,76
2021-04-01,84
2021-04-02,78
2021-04-03,66
2021-04-04,51
2021-04-05,60
2021-04-06,78
2021-04-07,75
2021-04-08,73
2021-04-09,78
2021-04-10,67
2021-04-11,56
2021-04-12,61
2021-04-13,100
2021-04-14,83
2021-04-15,77
2021-04-16,77
2021-04-17,64
2021-04-18,52
2021-04-19,57
2021-04-20,57
2021-04-21,57
2021-04-22,61
2021-04-23,60
2021-04-24,53
2021-04-25,47
2021-04-26,45
2021-04-27,53
2021-04-28,54
2021-04-29,49
2021-04-30,47
2021-05-01,40
