date,J&J Vaccine
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,1
2021-01-09,0
2021-01-10,1
2021-01-11,0
2021-01-12,1
2021-01-13,1
2021-01-14,2
2021-01-15,2
2021-01-16,1
2021-01-17,1
2021-01-18,0
2021-01-19,1
2021-01-20,1
2021-01-21,2
2021-01-22,2
2021-01-23,2
2021-01-24,1
2021-01-25,1
2021-01-26,2
2021-01-27,2
2021-01-28,1
2021-01-29,5
2021-01-30,2
2021-01-31,1
2021-02-01,1
2021-02-02,1
2021-02-03,2
2021-02-04,1
2021-02-05,4
2021-02-06,1
2021-02-07,2
2021-02-08,2
2021-02-09,1
2021-02-10,1
2021-02-11,2
2021-02-12,1
2021-02-13,2
2021-02-14,1
2021-02-15,1
2021-02-16,1
2021-02-17,1
2021-02-18,1
2021-02-19,2
2021-02-20,1
2021-02-21,1
2021-02-22,2
2021-02-23,2
2021-02-24,5
2021-02-25,6
2021-02-26,6
2021-02-27,6
2021-02-28,10
2021-03-01,11
2021-03-02,10
2021-03-03,14
2021-03-04,14
2021-03-05,13
2021-03-06,12
2021-03-07,10
2021-03-08,10
2021-03-09,13
2021-03-10,15
2021-03-11,14
2021-03-12,12
2021-03-13,14
2021-03-14,10
2021-03-15,11
2021-03-16,9
2021-03-17,9
2021-03-18,9
2021-03-19,8
2021-03-20,11
2021-03-21,9
2021-03-22,10
2021-03-23,14
2021-03-24,11
2021-03-25,11
2021-03-26,12
2021-03-27,8
2021-03-28,8
2021-03-29,12
2021-03-30,12
2021-03-31,13
2021-04-01,21
2021-04-02,16
2021-04-03,14
2021-04-04,13
2021-04-05,19
2021-04-06,19
2021-04-07,21
2021-04-08,24
2021-04-09,29
2021-04-10,26
2021-04-11,27
2021-04-12,20
2021-04-13,100
2021-04-14,34
2021-04-15,17
2021-04-16,11
2021-04-17,10
2021-04-18,9
2021-04-19,9
2021-04-20,6
2021-04-21,7
2021-04-22,9
2021-04-23,14
2021-04-24,10
2021-04-25,7
2021-04-26,10
2021-04-27,9
2021-04-28,9
2021-04-29,6
2021-04-30,5
2021-05-01,4
