,username,location,created,followers,timesRetweeted,text,hashtags
0,servingupshade,,2021-04-29 23:11:28,2210,0,@joesox04 He is a trooper. I wish him great success in his baseball career,[]
1,Coach_Fontaine,Rhode Island,2021-04-29 23:11:26,243,0,@PilgrimMilitia @PilgrimMilitia he keeps ducking me with our baseball challenge. Might need you to help me set it up!,[]
2,bushboysmom,,2021-04-29 23:11:24,211,4,Baseball: #11 Rowan 8 - Stockton 6,[]
3,FOnions2,,2021-04-29 23:11:23,69,0,@espn @SportsCenter You showed GOLF over baseball??,[]
4,PDSHead,"Charlotte, NC",2021-04-29 23:11:22,1790,1,"Var baseball beats Cannon, 7-5. Adam Dunaief with 2 2b and 3 rbi. Greyson Tappy gets the win with 3 shutout innings in relief. PDS ends season 11-8, 7-3 solo 2nd place in conference #pdschargers",[]
5,TheDaveShow,"Las Vegas, NV",2021-04-29 23:11:20,338,0,14-Inning Thriller! Super Mega Baseball 3 Franchise (S1G67-69) https://t.co/22x6cUcC1W via @YouTube,[]
6,Sportsandcard,,2021-04-29 23:11:19,1691,2,"2021 Topps X Derek Jeter ""Captain's Crew"" is available now. View the set details and images: https://t.co/UIFfmOTXyJ #collect #thehobby #derekjeter https://t.co/RIkQPXSOuC",[]
7,BWagner_CapGaz,,2021-04-29 23:11:18,3480,4,".@ASCavsBaseball had beaten 10-straight teams already and battled a tough St. John’s team to a tie into the night less than 24 hours earlier.

They’d show their rival @StMarysSaints exactly why.

Read how Spalding beat St. Mary's 12-1: https://t.co/G6O8kyzpKz

Photo: @pwgphoto https://t.co/UpCVilBGT3",[]
8,PHoeyOfficial,New Jersey,2021-04-29 23:11:17,1905,2713,"RT this for a chance to win a @dylanobrien signed baseball! ⚾️✍️ 

#dylanobrien 🔸 #LoveAndMonsters 🔹 #LGM https://t.co/FtHc3Da9Ji","[{'text': 'dylanobrien', 'indices': [77, 89]}, {'text': 'LoveAndMonsters', 'indices': [92, 108]}, {'text': 'LGM', 'indices': [111, 115]}]"
9,RosyC6cards,,2021-04-29 23:11:17,63,2,"The Bruins are back at Jackie Robinson Stadium this weekend to host Oregon State in series televised by the @Pac12Network. 

NOTES | https://t.co/eJ3dwoTa2T

#GoBruins https://t.co/Ug1MgqMXNs",[]
10,KimberlyKorf,,2021-04-29 23:11:15,144,1,"Varsity baseball defeated Lakin 12-2 in game one.

Korf pitched 6 innings &amp; picked up the win. Striking out 12 &amp; walking 1.

RBI: Mendoza 3 (HR), Harper (2), Salinas (1), Roa (1), Burnett (1), Littell (1), Jackson (1).

Bachman allowed 4 runs, walked 3 &amp; struck out 14 for Lakin.",[]
11,HFHS_BASEBALL,"Flossmoor, IL",2021-04-29 23:11:14,941,0,"Stagg grounds out to end the inning. McAlister will lead off in the 4th!
#compete
Vikings-9
Chargers-5","[{'text': 'compete', 'indices': [73, 81]}]"
12,utracefan72,,2021-04-29 23:11:14,1139,0,@fischer_kelli @magnumCJ FYI the @Vol_Baseball game is on ESPNU tonight 😃,[]
13,TheReal_KDubb,"LA,Houston, NYC, ATL,Tampa",2021-04-29 23:11:13,13970,0,MLB DraftKings Picks Daily Fantasy Baseball Main Slate Cheat Sheet &amp; Projections | Trevor Bauer https://t.co/9pb8VQn6ii,[]
14,stormchaserchi1,,2021-04-29 23:11:12,654,1,"@EMoriartyWX I’m glad I’m not the only one arguing the terminal velocity subject here. I’ve had 2” hail hit me, completely without wind, just dropping straight down on me and sounded like someone was hitting my car with a baseball bat on each hit. I have a bruise on my shoulder in an old pic",[]
15,MikeCole24,,2021-04-29 23:11:11,597,302,"It’s #NFLDraft Day, so you know we had to post about Prime Time. In his return to baseball in ‘01, he had an electric day at the plate. https://t.co/KquGG5lXer","[{'text': 'NFLDraft', 'indices': [19, 28]}]"
